scenario,F_sampling_physics,floor_method_step20,speed_base_vs_bar_signed,speed_A_vs_bar_signed,speed_base_vs_bar_abs,speed_A_vs_bar_abs,speed_base_vs_inst,speed_A_vs_inst,dir_base_deg,dir_A_deg,dir_max_abs_delta_deg,cov_base,cov_A
S1,0.0,0.0,-0.096,-0.096,0.096,0.096,0.096,0.096,2.115,2.115,0.0,13,13
S2a_5,0.0,1.107,7.755,5.7,7.761,5.71,7.761,5.71,2.311,2.311,0.0,13,13
S2a_10,0.0,3.872,16.313,13.936,16.33,13.936,16.33,13.936,4.757,4.757,0.0,12,12
S2a_20,0.0,11.692,29.801,24.78,29.924,25.287,29.924,25.287,10.581,10.581,0.0,12,12
S2b_20,6.618,4.585,4.601,4.502,9.045,8.953,17.503,17.351,2.213,2.213,0.0,13,13
S2b_40,23.711,12.794,14.169,14.598,16.73,17.853,49.354,49.877,2.093,2.093,0.0,12,12
S4_20,0.0,0.0,0.69,0.506,0.728,0.545,0.728,0.545,1.721,1.721,0.0,13,13
S4_40,,,1.919,0.856,1.996,0.914,1.996,0.914,1.633,1.633,0.0,12,12
S6_n9,0.0,0.0,34.549,25.485,34.549,25.485,34.549,25.485,4.324,4.324,0.0,6,6
S6_n12,,,0.558,0.576,0.558,0.576,0.558,0.576,2.868,2.868,0.0,9,9
S6_n25,0.0,0.0,0.089,0.089,0.089,0.089,0.089,0.089,1.227,1.227,0.0,22,22
S7_worst,6.523,8.247,21.876,18.701,22.63,19.613,28.691,26.251,4.426,4.426,0.0,12,12
