scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S8,0,clock_0ms,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,25,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,26,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S8,0,clock_0ms,30,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,1,2.2,0.03,6.249,0.9872,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,2,2.215,0.173,6.362,0.9808,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,3,1.834,0.208,6.322,0.9808,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,4,2.122,0.635,6.394,0.9359,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,5,2.214,0.173,6.119,0.9808,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,6,2.454,0.763,6.293,0.9679,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,7,1.944,0.121,6.155,0.9487,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,8,1.871,1.039,6.276,0.9167,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,9,2.332,0.211,6.385,1.0,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,10,2.111,1.192,6.418,0.9936,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,11,2.126,0.202,6.369,0.9744,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,12,2.24,0.518,6.334,0.9487,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,13,2.044,0.453,6.426,0.9744,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,14,1.828,0.514,6.379,0.9551,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,15,2.174,0.734,6.293,0.9744,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,16,2.065,0.358,6.428,0.9936,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,17,2.153,0.091,6.338,0.9808,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,18,2.152,0.571,6.263,0.9551,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,19,2.191,1.174,6.394,0.9936,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,20,2.22,0.236,6.408,0.9551,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,21,2.043,0.17,6.371,0.9423,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,22,2.293,0.217,6.376,0.9872,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,23,1.909,0.699,6.219,0.9936,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,24,1.788,0.002,6.248,0.9551,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,25,2.057,0.177,6.349,0.9551,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,26,2.228,0.478,6.169,0.9679,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,27,1.945,0.164,6.242,0.9423,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,28,2.106,0.115,6.258,0.9872,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,29,2.296,0.578,6.458,0.9744,0.0,2.769,1.0,100.0,13
S8,50,clock_50ms,30,2.2,0.244,6.213,0.9872,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,1,2.288,0.035,6.164,0.9872,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,2,2.316,0.563,6.391,0.9808,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,3,1.552,0.425,6.31,0.9808,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,4,2.13,1.282,6.454,0.9359,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,5,2.314,0.357,5.904,0.9808,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,6,2.795,1.662,6.252,0.9679,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,7,1.775,0.151,5.976,0.9487,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,8,1.624,2.194,6.218,0.9167,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,9,2.559,0.153,6.436,1.0,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,10,2.119,2.907,6.503,0.9936,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,11,2.142,0.498,6.404,0.9744,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,12,2.366,1.171,6.334,0.9487,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,13,1.972,0.893,6.518,0.9744,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,14,1.548,0.844,6.425,0.9551,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,15,2.232,1.481,6.253,0.9744,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,16,2.014,0.816,6.522,0.9936,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,17,2.19,0.182,6.341,0.9808,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,18,2.194,1.133,6.191,0.9551,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,19,2.257,2.283,6.455,0.9936,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,20,2.335,0.003,6.482,0.9551,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,21,1.972,0.434,6.409,0.9423,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,22,2.473,0.051,6.418,0.9872,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,23,1.706,1.362,6.105,0.9936,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,24,1.435,0.005,6.161,0.9551,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,25,2.003,0.442,6.363,0.9551,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,26,2.338,1.041,6.005,0.9679,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,27,1.772,0.239,6.151,0.9423,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,28,2.1,0.327,6.182,0.9872,0.0,2.769,1.0,100.0,13
S8,100,clock_100ms,29,2.473,1.295,6.581,0.9744,0.0,2.769,1.0,100.0,13
