scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S10,0,spots_0,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S10,0,spots_0,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S10,0,spots_0,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S10,0,spots_0,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S10,0,spots_0,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S10,0,spots_0,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S10,0,spots_0,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S10,0,spots_0,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S10,0,spots_0,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S10,0,spots_0,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S10,0,spots_0,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S10,0,spots_0,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S10,0,spots_0,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S10,0,spots_0,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S10,0,spots_0,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S10,0,spots_0,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S10,0,spots_0,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S10,0,spots_0,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S10,0,spots_0,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S10,0,spots_0,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S10,0,spots_0,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S10,0,spots_0,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S10,0,spots_0,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S10,0,spots_0,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
