scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths,nonfire_injected,nonfire_confirmed,nonfire_pollution_rate,nonfire_actual,nonfire_actual_confirmed,nonfire_pollution_rate_actual
S11on,0,nonfire_0,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,25,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,26,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,0,nonfire_0,30,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13,0,0,0.0,0,0,0.0
S11on,2,nonfire_2,1,2.277,0.054,6.321,0.966,0.0,2.775,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,2,2.197,0.064,6.334,0.9796,0.0,2.775,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,3,2.222,0.06,6.321,0.9793,0.0,2.767,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,5,2.308,0.103,6.421,0.9577,0.0,2.767,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,6,2.277,0.054,6.321,0.9459,0.0,2.792,1.0,100.0,12,2,1,0.5,2,1,0.5
S11on,2,nonfire_2,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,8,0.799,1.19,6.334,0.9156,0.0,2.723,1.0,100.0,13,2,2,1.0,1,1,1.0
S11on,2,nonfire_2,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,10,2.236,0.059,6.354,0.9864,0.0,2.775,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,12,2.616,0.096,6.221,0.9275,0.0,2.782,1.0,100.0,11,2,0,0.0,2,0,0.0
S11on,2,nonfire_2,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,14,2.402,0.024,6.321,0.9259,0.0,2.773,1.0,100.0,11,2,0,0.0,2,0,0.0
S11on,2,nonfire_2,15,2.115,0.096,6.334,0.9737,0.0,2.769,1.0,100.0,13,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,16,2.236,0.059,6.354,0.9932,0.0,2.775,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13,2,2,1.0,0,0,0.0
S11on,2,nonfire_2,18,2.277,0.054,6.38,0.9467,0.0,2.775,1.0,100.0,12,2,0,0.0,1,0,0.0
S11on,2,nonfire_2,19,0.867,0.096,6.334,0.9935,0.0,2.762,1.0,100.0,13,2,2,1.0,1,1,1.0
S11on,2,nonfire_2,20,2.106,0.05,6.334,0.9539,0.0,2.767,1.0,100.0,12,2,1,0.5,1,0,0.0
S11on,2,nonfire_2,21,2.106,0.05,6.334,0.9467,0.0,2.767,1.0,100.0,12,2,1,0.5,1,0,0.0
