scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S2a,0,wind_0deg,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,25,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,26,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S2a,0,wind_0deg,30,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,1,2.138,0.091,5.581,0.9742,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,2,1.602,12.128,7.084,0.9874,0.0,2.75,1.0,100.0,14
S2a,5,wind_5deg,3,0.44,11.193,6.827,0.981,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,4,3.785,9.943,6.414,0.9342,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,5,0.641,0.447,6.754,0.975,0.0,2.792,1.0,100.0,13
S2a,5,wind_5deg,6,0.676,9.055,5.341,0.9618,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,7,6.065,4.382,6.167,0.9444,0.0,2.762,1.0,100.0,13
S2a,5,wind_5deg,8,1.461,4.642,7.214,0.9119,0.0,2.762,1.0,100.0,13
S2a,5,wind_5deg,9,0.449,18.215,8.134,1.0,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,10,5.84,6.094,6.081,0.9935,0.0,2.762,1.0,100.0,13
S2a,5,wind_5deg,11,1.645,12.364,7.714,0.9675,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,12,2.389,10.289,6.654,0.9423,0.0,2.762,1.0,100.0,13
S2a,5,wind_5deg,13,0.23,9.299,7.554,0.9748,0.0,2.779,1.0,100.0,14
S2a,5,wind_5deg,14,3.58,15.869,6.667,0.956,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,15,3.997,0.481,5.467,0.9615,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,16,2.955,4.763,6.207,0.9935,0.0,2.779,1.0,100.0,14
S2a,5,wind_5deg,17,1.045,6.327,6.821,0.975,0.0,2.762,1.0,100.0,13
S2a,5,wind_5deg,18,1.576,8.302,5.654,0.9551,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,19,1.893,7.999,5.121,0.9935,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,20,1.709,6.452,6.721,0.9506,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,21,2.22,1.683,6.154,0.9423,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,22,0.004,3.102,6.761,0.9938,0.0,2.746,1.0,100.0,13
S2a,5,wind_5deg,23,1.645,14.9,5.621,0.9874,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,24,8.116,1.067,7.074,0.9669,0.0,2.75,1.0,100.0,14
S2a,5,wind_5deg,25,2.159,18.736,6.787,0.9618,0.0,2.769,1.0,100.0,13
S2a,5,wind_5deg,26,0.748,15.337,6.174,0.9682,0.0,2.754,1.0,100.0,13
S2a,5,wind_5deg,27,1.468,3.084,5.921,0.9367,0.0,2.754,1.0,100.0,13
S2a,5,wind_5deg,28,3.389,2.564,5.361,0.9804,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,29,0.57,3.34,6.387,0.9684,0.0,2.777,1.0,100.0,13
S2a,5,wind_5deg,30,4.902,10.675,5.321,0.9868,0.0,2.762,1.0,100.0,13
S2a,10,wind_10deg,1,2.185,4.87,4.981,0.9805,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,2,3.919,19.151,7.411,0.9869,0.0,2.786,0.9286,100.0,14
S2a,10,wind_10deg,3,3.066,13.466,6.987,0.981,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,4,5.196,22.439,5.757,0.9408,0.0,2.75,0.9286,100.0,14
S2a,10,wind_10deg,5,3.711,0.257,7.38,0.9756,0.0,2.785,1.0,100.0,13
S2a,10,wind_10deg,6,2.059,33.816,8.401,0.9679,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,7,13.409,13.686,6.257,0.9383,0.0,2.771,1.0,100.0,14
S2a,10,wind_10deg,8,1.016,7.555,9.33,0.9202,0.0,2.738,1.0,100.0,13
S2a,10,wind_10deg,9,4.694,35.475,9.061,0.9879,0.0,2.769,0.9231,100.0,13
S2a,10,wind_10deg,10,9.858,11.586,9.88,1.0,0.0,2.762,1.0,100.0,13
S2a,10,wind_10deg,11,0.145,20.028,8.581,0.9739,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,12,5.832,12.569,6.561,0.9467,0.0,2.769,0.9231,100.0,13
S2a,10,wind_10deg,13,4.583,16.769,8.334,0.9812,0.0,2.769,1.0,100.0,13
S2a,10,wind_10deg,14,9.173,21.276,6.547,0.9451,0.0,2.769,1.0,100.0,13
S2a,10,wind_10deg,15,7.299,13.004,5.993,0.9689,0.0,2.786,1.0,100.0,14
S2a,10,wind_10deg,16,5.029,11.886,7.147,0.9936,0.0,2.762,1.0,100.0,13
S2a,10,wind_10deg,17,2.953,11.246,7.18,0.9623,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,18,4.752,18.066,8.701,0.9688,0.0,2.792,1.0,100.0,13
S2a,10,wind_10deg,19,1.928,12.929,5.704,0.987,0.0,2.769,1.0,100.0,13
S2a,10,wind_10deg,20,5.577,14.889,6.747,0.939,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,21,2.211,3.059,5.954,0.9355,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,22,0.355,12.613,6.634,0.9815,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,23,6.4,33.307,4.721,0.9938,0.0,2.754,1.0,100.0,13
S2a,10,wind_10deg,24,14.235,11.208,9.221,0.9507,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,25,1.286,26.095,6.494,0.9497,0.0,2.785,1.0,100.0,13
S2a,10,wind_10deg,26,0.968,24.833,4.587,0.974,0.0,2.777,1.0,100.0,13
S2a,10,wind_10deg,27,5.255,17.707,8.081,0.9451,0.0,2.762,1.0,100.0,13
S2a,10,wind_10deg,28,5.691,14.796,7.121,0.9806,0.0,2.785,0.9231,100.0,13
S2a,10,wind_10deg,29,0.788,5.872,6.461,0.9748,0.0,2.769,1.0,100.0,13
S2a,10,wind_10deg,30,9.145,25.459,1.179,0.9797,0.0,2.75,1.0,100.0,12
S2a,20,wind_20deg,1,2.528,18.21,8.101,0.9735,0.0,2.769,0.9231,100.0,13
S2a,20,wind_20deg,2,2.069,15.062,7.069,0.9799,0.0,2.786,0.9286,100.0,14
S2a,20,wind_20deg,3,3.317,9.826,6.571,0.9923,0.0,2.792,0.8462,100.0,13
S2a,20,wind_20deg,4,3.544,36.215,6.387,0.9329,0.0,2.764,0.9286,100.0,14
S2a,20,wind_20deg,5,15.16,1.839,7.58,0.9809,0.0,2.769,1.0,100.0,13
S2a,20,wind_20deg,6,5.868,65.561,9.771,0.9664,0.0,2.769,1.0,100.0,13
S2a,20,wind_20deg,7,29.674,17.814,5.571,0.9383,0.0,2.777,1.0,100.0,13
S2a,20,wind_20deg,8,1.382,34.921,9.487,0.9161,0.0,2.779,1.0,100.0,14
S2a,20,wind_20deg,9,3.348,36.602,9.841,1.0,0.0,2.785,0.9231,100.0,13
S2a,20,wind_20deg,10,13.705,27.826,15.38,1.0,0.0,2.762,1.0,100.0,13
S2a,20,wind_20deg,11,4.288,35.246,10.287,0.9669,0.0,2.8,1.0,100.0,13
S2a,20,wind_20deg,12,31.437,38.869,7.171,0.9545,0.0,2.762,1.0,100.0,13
S2a,20,wind_20deg,13,4.447,30.963,9.114,0.9722,0.0,2.769,0.9231,100.0,13
S2a,20,wind_20deg,14,21.356,32.555,4.93,0.9873,0.0,2.764,0.9286,100.0,14
S2a,20,wind_20deg,15,22.913,29.334,9.521,0.9792,0.0,2.764,0.9286,100.0,14
S2a,20,wind_20deg,16,3.362,4.493,6.421,0.9867,0.0,2.767,0.9167,100.0,12
S2a,20,wind_20deg,17,12.335,29.517,4.287,0.9679,0.0,2.777,0.9231,100.0,13
S2a,20,wind_20deg,18,10.334,50.508,6.54,0.9742,0.0,2.769,1.0,100.0,13
S2a,20,wind_20deg,19,6.735,66.433,5.609,0.9863,0.0,2.758,0.9167,100.0,12
S2a,20,wind_20deg,20,15.758,40.234,7.28,0.95,0.0,2.777,1.0,100.0,13
S2a,20,wind_20deg,21,1.757,3.778,5.03,0.9317,0.0,2.764,1.0,100.0,14
