scenario,level,level_label,seed,dir_err_deg,speed_err_pct,eta_err_s,delivery_rate,fp_rate,detect_lag_s,coverage,reroute_ms_mean,confirmed_deaths
S9,0,temp_0.0s,1,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,2,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,3,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,4,2.115,0.096,6.334,0.9359,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,5,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,6,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,7,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,8,2.115,0.096,6.334,0.9167,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,9,2.115,0.096,6.334,1.0,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,10,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,11,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,12,2.115,0.096,6.334,0.9487,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,13,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,14,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,15,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,16,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,17,2.115,0.096,6.334,0.9808,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,18,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,19,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,20,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,21,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,22,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,23,2.115,0.096,6.334,0.9936,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,24,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,25,2.115,0.096,6.334,0.9551,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,26,2.115,0.096,6.334,0.9679,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,27,2.115,0.096,6.334,0.9423,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,28,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,29,2.115,0.096,6.334,0.9744,0.0,2.769,1.0,100.0,13
S9,0,temp_0.0s,30,2.115,0.096,6.334,0.9872,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,1,1.456,0.688,6.278,0.9872,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,2,2.506,0.72,6.445,0.9808,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,3,0.574,1.144,6.488,0.9808,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,4,2.23,2.148,6.49,0.9359,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,5,1.525,0.285,6.296,0.9808,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,6,1.613,4.295,6.067,0.9679,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,7,2.267,0.97,6.236,0.9487,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,8,1.254,0.088,6.013,0.9167,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,9,2.16,0.745,6.791,1.0,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,10,1.853,2.265,6.46,0.9936,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,11,1.74,0.593,6.056,0.9744,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,12,2.165,3.446,6.358,0.9487,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,13,2.609,2.256,6.379,0.9744,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,14,2.348,0.559,6.733,0.9551,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,15,2.483,2.976,6.955,0.9744,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,16,1.526,4.546,6.679,0.9936,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,17,2.393,0.684,6.178,0.9808,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,18,2.373,0.65,6.558,0.9551,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,19,1.238,0.702,6.019,0.9936,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,20,2.544,1.179,6.149,0.9551,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,21,2.748,0.731,5.983,0.9423,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,22,2.718,0.483,5.94,0.9872,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,23,2.046,0.348,5.596,0.9936,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,24,2.645,1.156,5.98,0.9551,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,25,2.1,0.241,5.897,0.9551,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,26,3.277,0.113,6.537,0.9679,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,27,1.469,1.989,6.094,0.9423,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,28,2.128,0.226,5.751,0.9872,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,29,2.895,1.457,6.332,0.9744,0.0,2.769,1.0,100.0,13
S9,200,temp_0.2s,30,2.736,2.064,6.264,0.9872,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,1,0.198,2.263,6.194,0.9872,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,2,3.024,1.88,6.612,0.9808,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,3,1.55,3.055,6.719,0.9808,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,4,2.494,8.206,6.724,0.9359,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,5,0.807,4.246,6.239,0.9808,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,6,0.482,11.653,5.667,0.9679,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,7,2.531,2.387,6.088,0.9487,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,8,0.124,0.138,5.531,0.9167,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,9,2.314,1.859,7.476,1.0,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,10,1.382,5.788,6.649,0.9936,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,11,0.842,1.469,5.64,0.9744,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,12,2.121,9.153,6.395,0.9487,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,13,3.475,5.97,6.446,0.9744,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,14,3.034,1.305,7.332,0.9551,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,15,3.096,7.849,7.887,0.9744,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,16,1.137,12.485,7.196,0.9936,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,17,2.894,1.834,5.945,0.9808,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,18,2.764,1.567,6.895,0.9551,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,19,0.63,1.849,5.547,0.9936,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,20,3.309,2.948,5.871,0.9551,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,21,3.86,1.991,5.458,0.9423,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,22,3.945,1.358,5.348,0.9872,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,23,2.039,0.876,4.489,0.9936,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,24,3.309,2.524,5.45,0.9551,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,25,2.036,0.609,5.241,0.9551,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,26,5.022,0.343,7.2,0.9679,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,27,0.596,4.513,5.734,0.9423,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,28,2.125,0.472,4.876,0.9872,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,29,4.064,3.989,6.328,0.9744,0.0,2.769,1.0,100.0,13
S9,500,temp_0.5s,30,3.762,5.138,6.16,0.9872,0.0,2.769,1.0,100.0,13
